futp pas nsn; λελῡσόμενον
perimp  d3; λελυκότε ἔστων<br>λελυκέτων
perimp  d2; λελυκότε ἔστον<br>λελύκετον
ao  d2; λύ̄σαιτον
ao  d3; λῡσαίτην
futp pas mpa; λελῡσομένους
finf pas; λυθήσεσθαι
pero m-p s1; λελυμένος εἴην
pero m-p s2; λελυμένος εἴης
pero m-p s3; λελυμένος εἴη
futp pas fpa; λελῡσομένᾱς
p  mpa; λύ̄οντας
p  fdg; λῡούσαιν
f  npn; λύ̄σοντα
p  mpd; λύ̄ουσι<br>λύ̄ουσιν
p  fdn; λῡούσᾱ
p  mpn; λύ̄οντες
f  npd; λύ̄σουσι<br>λύ̄σουσιν
ps m-p p2; λύ̄ησθε
a  npn; λύ̄σαντα
ps m-p p1; λῡώμεθα
pimp m-p p3; λῡέσθων
pimp m-p p2; λύ̄εσθε
a  npg; λῡσάντων
a  npd; λύ̄σᾱσι<br>λύ̄σᾱσιν
finf mid; λύ̄σεσθαι
fo pas s3; λυθήσοιτο
fo pas s2; λυθήσοιο
fo pas s1; λυθησοίμην
a mid msa; λῡσάμενον
as pas d2; λυθῆτον
a mid msg; λῡσαμένου
a mid msd; λῡσαμένῳ
a mid msn; λῡσάμενος
ps  s1; λύ̄ω
ps  s2; λύ̄ῃς
ps  s3; λύ̄ῃ
a mid msv; λῡσάμενε
ao mid p2; λύ̄σαισθε
ao mid p1; λῡσαίμεθα
per m-p nsg; λελῡομένου
ii m-p d3; ἐλῡέσθην
per m-p nsd; λελῡομένῳ
po m-p p2; λύ̄οισθε
po m-p p3; λύ̄οιντο
po m-p p1; λῡοίμεθα
per m-p nsn; λελῡομενον
per m-p fpa; λελῡομένᾱς
per m-p fpg; λελῡομένων
per m-p fpd; λελῡομέναις
per m-p fpn; λελῡομεναι
futp pas fdg; λελῡσομέναιν
futp pas mpn; λελῡσόμενοι
fo mid d2; λύ̄σοισθον
fo mid d3; λῡσοίσθην
futp pas mpg; λελῡσομένων
futp pas mpd; λελῡσομένοις
peri  d2; λελύκατον
peri  d3; λελύκατον
pers m-p s1; λελυμένος ὦ
f  fsv; λύ̄σουσα
f  fsn; λύ̄σουσα
ao pas s3; λυθείη
f  fsa; λύ̄σουσαν
f  fsg; λῡσούσης
f  fsd; λῡσούσῃ
pi  d3; λύ̄ετον
pi  d2; λύ̄ετον
a  nsg; λύ̄σαντος
a  nsd; λύ̄σαντι
ainf ; λῦσαι
per m-p msv; λελῡομένε
a  nsn; λῦσαν
per m-p msn; λελῡομένος
aimp mid d2; λύ̄σασθον
aimp mid d3; λῡσάσθων
per m-p msd; λελῡομένῳ
per m-p msg; λελῡομένου
per m-p msa; λελῡομένον
f mid fdg; λῡσομέναιν
pero  p1; λελυκότες εἴημεν<br>λελυκότες εἶμεν<br>λελύκοιμεν
pero  p2; λελυκότες εἴητε<br>λελυκότες εἶτε<br>λελύκοιτε
pero  p3; λελυκότες εἴησαν<br>λελυκότες εἶεν<br>λελύκοιεν
p m-p msa; λῡόμενον
a  fdn; λῡσά̄σᾱ
f mid fdn; λῡσομένᾱ
f pas nsn; λυθησόμενον
p m-p msv; λῡόμενε
a pas fpa; λυθείσᾱς
a pas fpg; λυθεισῶν
a pas fpd; λυθείσαις
a pas fpn; λυθεῖσαι
peri  s3; λέλυκε
peri  s2; λέλυκας
peri  s1; λέλυκα
p  fsv; λύ̄ουσα
plupi m-p p2; ἐλέλυσθε
plupi m-p p3; ἐλέλυντο
plupi m-p p1; ἐλελύμεθα
a  mpg; λῡσάντων
p  fsd; λῡούσῃ
p  fsg; λῡούσης
p  fsa; λύ̄ουσαν
f pas fdn; λυθησομένᾱ
p  fsn; λύ̄ουσα
f pas fdg; λυθησομέναιν
a mid ndg; λῡσαμένοιν
a mid ndn; λῡσαμένω
ai pas s3; ἐλύθη
peri m-p s3; λέλυται
ao  p2; λύ̄σαιτε
ii  d2; ἐλύ̄ετον
ii  d3; ἐλῡέτην
futpi pas s1; λελύ̄σομαι
futpi pas s3; λελύ̄σεται
futpi pas s2; λελύ̄σῃ<br>λελύ̄σει
p m-p fdg; λῡομέναιν
futpi pas p3; λελύ̄σονται
peri m-p d3; λέλυσθον
peri m-p d2; λέλυσθον
perinf m-p; λελύσθαι
ai mid p2; ἐλύ̄σασθε
ai  p1; ἐλύ̄σαμεν
ai  p2; ἐλύ̄σατε
ai  p3; ἔλῡσαν
per  fpn; λελυκυῖαι
per  fpa; λελυκυίᾱς
per  fpd; λελυκυίαις
per  fpg; λελυκυλῶν
aimp pas p3; λυθέντων
as mid p3; λύ̄σωνται
as mid p2; λύ̄σησθε
as mid p1; λῡσώμεθα
po m-p s3; λύ̄οιτο
f  fpa; λῡσούσᾱς
f  fpg; λῡσουσῶν
f  fpd; λῡσούσαις
pers m-p d3; λελυμένω ἦτον
pers m-p d2; λελυμένω ἦτον
f  fpn; λύ̄σουσαι
peri m-p p3; λέλυνται
f  msv; λύ̄σων
f  msn; λύ̄σων
peri m-p p1; λελύμεθα
f  msd; λύ̄σοντι
f  msg; λύ̄σοντος
f  msa; λύ̄σοντα
p  msn; λύ̄ων
p  msa; λύ̄οντα
pimp  d2; λύ̄ετον
p  msg; λύ̄οντος
p  msd; λύ̄οντι
fo  d3; λῡσοίτην
fo  d2; λύ̄σοιτον
p m-p nsd; λῡομένῳ
p  msv; λύ̄ων
fi  p1; λύ̄σομεν
ao pas d3; λυθείτην<br>λυθειήτην
fi  p3; λύ̄σουσι
fi  p2; λύ̄σετε
ao pas d2; λυθεῖτον<br>λυθείητον
ai mid d3; ἐλῡσάσθην
ai mid d2; ἐλύ̄σασθον
aimp  d3; λῡσάτων
aimp  d2; λύ̄σατον
a mid mpg; λῡσαμένων
a mid mpd; λῡσαμένοις
f mid npn; λῡσόμενα
a mid mpa; λῡσαμένους
a mid mpn; λῡσάμενοι
peri m-p s1; λέλυμαι
f mid npg; λῡσομένων
f mid npd; λῡσομένοις
ao pas s1; λυθείην
pers  d2; λελυκότε ἦτον<br>λελύκητον
pers  d3; λελυκότε ἦτον<br>λελύκητον
p m-p nsn; λῡόμενον
p  mpg; λῡόντων
pers m-p s2; λελυμένος ᾖς
pers m-p s3; λελυμένος ᾖ
a pas nsn; λυθέν
futp pas npd; λελῡσομένοις
futp pas npg; λελῡσομένων
a pas nsg; λυθέντος
a pas nsd; λυθέντι
ao pas p1; λυθεῖμεν<br>λυθείημεν
ao pas s2; λυθείης
futp pas npn; λελῡσόμενα
f  mdn; λύ̄σοντε
pero m-p p1; λελυμένοι εἴημεν<br>λελυμένοι εἶμεν
f  mdg; λῡσόντοιν
pero m-p p2; λελυμένοι εἴητε<br>λελυμένοι εἶτε
per m-p fsn; λελῡομένη
per m-p fsa; λελῡομένην
per m-p fsg; λελῡομένης
f  npg; λῡσόντων
ii m-p s1; ἐλῡόμην
ii m-p s2; ἐλύ̄ου
ii m-p s3; ἐλύ̄ετο
per  mpn; λελυκότες
ai pas p1; ἐλύθημεν
per  mpa; λελυκότας
per  mpg; λελυκότων
per  mpd; λελυκόσι<br>λελυκόσιν
pi m-p p1; λῡόμεθα
pi m-p p2; λύ̄εσθε
pi m-p p3; λύ̄ονται
ao pas p3; λυθεῖεν<br>λυθείησαν
futpo pas d3; λελῡσοίσθην
ps m-p p3; λύ̄ωνται
f pas mpn; λυθησόμενοι
ao pas p2; λυθεῖτε<br>λυθείητε
aimp pas p2; λύθητε
as  d3; λύ̄σητον
ai pas s2; ἐλύθης
ai  d2; ἐλύ̄σατον
futpi pas p2; λελύ̄σεσθε
ai pas s1; ἐλύθην
ai  d3; ἐλῡσάτην
p m-p fsn; λῡομένη
p m-p fsa; λῡομένην
p m-p fsd; λῡομένῃ
po m-p s2; λύ̄οιο
po m-p s1; λῡοίμην
p m-p fsg; λῡομένης
a mid fpd; λῡσαμέναις
futp pas msg; λελῡσομένου
a mid fpg; λῡσαμένων
a mid fpa; λῡσαμένᾱς
a pas fdg; λυθείσαιν
a mid fpn; λῡσάμεναι
p m-p fsv; λῡομένη
f pas npn; λυθησόμενα
f pas npd; λυθησομένοις
f pas npg; λυθησομένων
ps m-p s3; λύ̄ηται
ps m-p s2; λύ̄ῃ
ps m-p s1; λύ̄ωμαι
futpo pas s2; λελύ̄σοιο
